,road,road_segment,road_name,startLRP,endLRP,startChainage,endChainage,road_length,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,AADT,nrLanes,trucks_density,bus_density,car_density,mot_density,nonmotorized_density,lat,lon,vulnerability_weight,vul_roadseg,criticality
0,N1,N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,LRP043,38.4661,45.38800000000001,6.9220000000000015,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,6.0,449.07541173071365,153.63189829529034,25.25763266878551,2.5426177405374166,1.9069633054030624,23.530666,90.7821938,49.420504021450064,2052.5323730188647,9325.500000000002
1,N1,N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,LRP043,55.4771,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,6.0,439.7882664314072,153.6127040141156,27.59398127726315,3.8817820908689904,2.8084105278635496,23.50433330000001,90.93547190000001,49.420504021450064,2016.6530870992915,8973.0
2,N1,N1-16L,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,LRP067,62.2781,69.638,7.36,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,6.0,422.3505434782608,144.4891304347826,23.75452898550725,2.391304347826087,1.7934782608695652,23.4893886,91.0034722,49.420504021450064,2182.409457587235,9325.5
3,N1,N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),LRP043,LRP067,62.2781,69.638,7.36,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,6.0,406.3858695652174,141.94565217391303,25.498188405797094,3.5869565217391304,2.5951086956521734,23.4893886,91.0034722,49.420504021450064,2182.409457587235,8973.0
4,N1,N1-17L,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,LRP076,69.63810000000001,75.589,5.9510000000000005,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,6.0,524.3656528314568,195.8191900520921,34.02789447151739,13.82400716966336,5.074777348344815,23.4815271,91.0590278,49.420504021450064,1764.6085165898962,9361.5
5,N1,N1-17R,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Right),LRP067,LRP076,69.63810000000001,75.589,5.9510000000000005,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,6.0,563.2666778692658,204.10687279448828,29.182770402733432,11.02335741892119,4.705091581246848,23.4815271,91.0590278,49.420504021450064,1764.6085165898962,10056.000000000004
6,N1,N1-18L,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,LRP076,75.5891,81.846,6.2570000000000014,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,6.0,498.72143199616414,186.24260827872777,32.36375259709125,13.147940972777151,4.8265942144797815,23.4789716,91.118166,49.420504021450064,1855.3445619732788,9361.5
7,N1,N1-50,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,LRP299,289.9741,297.441,7.4670000000000005,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,2.0,411.00843712334273,333.0976295701085,54.30561135663586,48.47997857238517,42.707914825231015,22.044971899999997,92.1078333,49.420504021450064,738.0458070563353,3069.0000000000005
8,N1,N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,LRP043,55.4771,62.278,6.801,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,6.0,457.06513747978244,156.3652404058227,25.70700387197961,2.5878547272459937,1.9408910454344952,23.50433330000001,90.93547190000001,49.420504021450064,2016.6530870992915,9325.5
9,N1,N1-49,Keranirhat N108 - Int.with Z1019,LRP291,LRP291,289.6121,289.974,0.36200000000000004,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,2.0,8477.900552486188,6870.828729281769,1120.1657458563536,1000.0,880.939226519337,22.0977497,92.0750271,49.420504021450064,35.78044491152985,3069.0000000000005
10,N1,N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,LRP281,274.9821,278.013,3.031,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,2.0,1012.5371164632137,820.6004618937643,133.78422962718574,119.43253051798088,105.21280105575715,22.191721899999997,92.0453608,49.420504021450064,299.5870953780303,3069.000000000001
11,N1,N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),LRP076,LRP076,75.5891,81.846,6.2570000000000014,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,6.0,535.7199936071598,194.12498002237493,27.75558041660007,10.484257631452769,4.474988013424963,23.4789716,91.118166,49.420504021450064,1855.3445619732788,10056.0
12,N1,N1-19L,Mainamati N102- Int.with Z1029 (Left),LRP076,LRP076,81.8461,85.897,4.051,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,6.0,770.303628733646,287.66230560355467,49.98765736855097,20.307742944129018,7.454949395211059,23.459,91.142333,49.420504021450064,1201.2147707453653,9361.5
